AARS	Aars
ACPP	Acpp
ADSS	Adss
ADSSL1	Adssl1
AGTR1A	Agtr1a
ANK	Ank
ANKS1	Anks1
ARNTL	Arntl
ARNTL2	Arntl2
ATP5A1	Atp5a1
ATP5B	Atp5b
ATP5C1	Atp5c1
ATP5D	Atp5d
ATP5E	Atp5e
ATP5G2	Atp5g2
ATP5G3	Atp5g3
ATP5H	Atp5h
ATP5J	Atp5j
ATP5J2	Atp5j2
ATP5L	Atp5l
ATP5O	Atp5o
ATP6V0E	Atp6v0e
ATPIF1	Atpif1
BHLHB9	Bhlhb9
BOD1L	Bod1l
BTBD11	Btbd11
C4B	C4b
C4BP	C4bp
CAML	Caml
CARS	Cars
CASC1	Casc1
CCDC130	Ccdc130
CCDC173	Ccdc173
CCDC58	Ccdc58
CCDC84	Ccdc84
CD24A	Cd24a
CD3EAP	Cd3eap
CD8B1	Cd8b1
CENPC1	Cenpc1
CKMT1	Ckmt1
CTPS	Ctps
CYHR1	Cyhr1
CYP51	Cyp51
DARS	Dars
DCDC2A	Dcdc2a
DEPDC1A	Depdc1a
DUSP27	Dusp27
EFCAB1	Efcab1
EPRS	Eprs
ETL4	Etl4
EXOC3L	Exoc3l
FAM122A	Fam122a
FAM122B	Fam122b
FAM122C	Fam122c
FAM207A	Fam207a
FCGR1	Fcgr1
FYB	Fyb
G6PC	G6pc
GARS	Gars
GBA	Gba
GH	Gh
GPR89	Gpr89
GRAMD2	Gramd2
GRAMD3	Gramd3
GRCC10	Grcc10
GYG	Gyg
H13	H13
H1F0	H1f0
HARS	Hars
HEXDC	Hexdc
HPRT	Hprt
IARS	Iars
ICOSL	Icosl
IL6RA	Il6ra
IQCA	Iqca
IRGM1	Irgm1
KARS	Kars
KCNE1L	Kcne1l
KIF19A	Kif19a
KIF4	Kif4
KIRREL	Kirrel
LARS	Lars
LHFP	Lhfp
LRRC6	Lrrc6
METTL2	Mettl2
MRE11A	Mre11a
MT1	Mt1
MYLPF	Mylpf
NARS	Nars
NRD1	Nrd1
NT5C3	Nt5c3
NTF5	Ntf5
NUPL2	Nupl2
NUPR1L	Nupr1l
OASL1	Oasl1
PCNX	Pcnx
PIRB	Pirb
PQLC3	Pqlc3
PYCRL	Pycrl
QARS	Qars
RAB39	Rab39
RAB7	Rab7
RAB9	Rab9
RAD21L	Rad21l
RARS	Rars
RRNAD1	Rrnad1
RWDD4A	Rwdd4a
SAMD4	Samd4
SARS	Sars
SERF1	Serf1
SKIV2L	Skiv2l
SPG20	Spg20
SRPR	Srpr
STX4A	Stx4a
STX5A	Stx5a
SYPL	Sypl
TARS	Tars
TARSL2	Tarsl2
TCL1	Tcl1
TMEM159	Tmem159
TMEM167	Tmem167
TMEM170	Tmem170
TMEM178	Tmem178
TOMM70A	Tomm70a
TPRGL	Tprgl
TSSK1	Tssk1
TTC37	Ttc37
TTC7	Ttc7
TXN1	Txn1
UBE2CBP	Ube2cbp
UHRF1BP1	Uhrf1bp1
UHRF1BP1L	Uhrf1bp1l
VARS	Vars
WDR61	Wdr61
WDR66	Wdr66
WDYHV1	Wdyhv1
YAE1D1	Yae1d1
YARS	Yars
ZADH2	Zadh2
ZFP106	Zfp106
ZFP112	Zfp112
ZFP148	Zfp148
ZFP276	Zfp276
ZFP292	Zfp292
ZFP318	Zfp318
ZFP647	Zfp647
ZKSCAN14	Zkscan14
ZKSCAN16	Zkscan16
ZKSCAN17	Zkscan17
ZKSCAN6	Zkscan6
