Aars1	Aars
Abitram	Fam206a
Abtb3	Btbd11
Acp3	Acpp
Adprs	Adprhl2
Adra1d	Adra1a
Adss1	Adssl1
Adss2	Adss
Afg2a	Spata5
Afg2b	Spata5l1
Akr1b1	Akr1b3
Ankrd48	Ankrd36
Antkmt	Fam173a
Apoo-ps	Apoo
Arb2a	Fam172a
Ark2c	Rnf165
Artmd1	Amd1
Atosa	Fam214a
Atosb	Fam214b
Atp12a	Chka
Atp5f1a	Atp5a1
Atp5f1b	Atp5b
Atp5f1c	Atp5c1
Atp5f1d	Atp5d
Atp5f1e	Atp5e
Atp5if1	Atpif1
Atp5mc1	Atp5g1
Atp5mc2	Atp5g2
Atp5mc3	Atp5g3
Atp5mf	Atp5j2
Atp5mg	Atp5l
Atp5mk	Usmg5
Atp5pb	Atp5f1
Atp5pd	Atp5h
Atp5pf	Atp5j
Atp5po	Atp5o
Atpsckmt	Fam173b
B4gat1	B3gnt6
Bltp3a	Uhrf1bp1
Bltp3b	Uhrf1bp1l
Bmal1	Arntl
Bmal2	Arntl2
Bodq1	Bod1
Bpnt2	Impad1
Braf-rs1	Braf
Bud23	Wbscr22
Calhm6	Fam26f
Calm5	Scarf2
Cars1	Cars
Castor1	Gatsl3
Castor2	Gatsl2
Cblif	Gif
Ccdc121rt1	Ccdc121
Ccn1	Cyr61
Ccn2	Ctgf
Ccn3	Nov
Ccn6	Wisp3
Cd300c2	Cd300c
Cemip2	Tmem2
Cenatac	Ccdc84
Cenps	Apitd1
Cep20	Fopnl
Cep43	Fgfr1op
Cert1	Col4a3bp
Cfap144	Fam183b
Cfap210	Ccdc173
Cfap251	Wdr66
Cfap91	Maats1
Cgas	Mb21d1
Cgct	Cad
Ciao2a	Fam96a
Ciao2b	Fam96b
Ciao3	Narfl
Cilk1	Ick
Cimap1b	Odf3b
Cimap1c	Odf3l1
Cimap1d	Odf3l2
Cimip2a	Fam166a
Cimip2b	Fam166b
Clca3a1	Clca1
Clca3a2	Clca2
Cltrn	Tmem27
Clxn	Efcab1
Cmtm2a	Cklf
Coa8	Apopt1
Cop1	Rfwd2
Cplane2	Rsg1
Crppa	Ispd
Ctps1	Ctps
Cyria	Fam49a
Cyrib	Fam49b
D11Bhm50	St7
D17H6S111E	Ring1
D3Umi11	Arnt
D3Umi25	Ecm1
D3Umi26	Vps45
D3Umi3	Oaz3
D7Zem4	Rpl23
Dars1	Dars
Dbmc1	Dmc1
Dcaf1	Vprbp
Dcaf8l	Pex3
Defa2	Cr2
Dennd10	Fam45a
Dennd2b	St5
Dipk1a	Fam69a
Dipk1b	Fam69b
Dipk1c	Fam69c
Dmac2	Atp5sl
Dmac2l	Atp5s
Dnaaf10	Wdr92
Dnaaf11	Lrrc6
Dnaaf4	Dyx1c1
Dnai3	Wdr63
Dnai4	Wdr78
Dnai7	Casc1
Dop1a	Dopey1
Dop1b	Dopey2
Dspp	Dsp
Dusp13b	Dusp13
Dxcp2	Dcp2
Dync2i1	Wdr60
Dync2i2	Wdr34
Dynlt2a1	Tcte3
Dynlt2b	Tctex1d2
Dynlt4	Tctex1d4
Eeig1	Fam102a
Eeig2	Fam102b
Eipr1	Tssc1
Elp1	Ikbkap
Entr1	Sdccag3
Entrep1	Fam189a2
Entrep2	Fam189a1
Entrep3	Fam189b
Eprs1	Eprs
Ess2	Dgcr14
Fbh1	Fbxo18
Fbxl9	Lrrc29
Fcrl2	Fcrls
Fcsk	Fuk
Fgf23lq3	Fgf14
Fgf23lq4	Fgf18
Fhip1a	Fam160a1
Fhip1b	Fam160a2
Fhip2a	Fam160b1
Fhip2b	Fam160b2
Flacc1	Als2cr12
Fvis1	Fis1
Fyb1	Fyb
G6pc1	G6pc
G6pd2	Gpd2
Galnt17	Wbscr17
Garin1a	Fam71f2
Garin1b	Fam71f1
Garin2	Fam71d
Garin3	Fam71b
Garin4	Fam71a
Garin5a	Fam71e1
Gars1	Gars
Gask1a	Fam198a
Gask1b	Fam198b
Gba1	Gba
Gc	Dbp
Get1	Wrb
Get3	Asna1
Gfus	Tsta3
Ggta1	Gal
Gjd3	Gjc1
Gm57858	Ccdc144b
Golm2	Casc4
Gpin1	Gin1
Gramd2a	Gramd2
Gramd2b	Gramd3
Grid2	Tpr
Gsdme	Dfna5
Gucy1a1	Gucy1a3
Gucy1b1	Gucy1b3
Gusr	Gsr
Gyg1	Gyg
Gzmn	Grn
H1f1	Hist1h1a
H1f10	H1fx
H1f2	Hist1h1c
H1f3	Hist1h1d
H1f4	Hist1h1e
H1f5	Hist1h1b
H2-T15	Gm11127
H2ac1	Hist1h2aa
H2ac11	Hist1h2ag
H2ac12	Hist1h2ah
H2ac13	Hist1h2ai
H2ac15	Hist1h2ak
H2ac20	Hist2h2ac
H2ac21	Hist2h2ab
H2ac25	Hist3h2a
H2ac4	Hist1h2ab
H2ac6	Hist1h2ac
H2ac7	Hist1h2ad
H2ac8	Hist1h2ae
H2af-ps2	Hist1h2al
H2aj	H2afj
H2ax	H2afx
H2az1	H2afz
H2az2	H2afv
H2bc11	Hist1h2bj
H2bc12	Hist1h2bk
H2bc13	Hist1h2bl
H2bc14	Hist1h2bm
H2bc15	Hist1h2bn
H2bc21	Hist2h2be
H2bc3	Hist1h2bb
H2bc4	Hist1h2bc
H2bc6	Hist1h2be
H2bc7	Hist1h2bf
H2bc8	Hist1h2bg
H2bc9	Hist1h2bh
H3c1	Hist1h3a
H3c10	Hist1h3h
H3c11	Hist1h3i
H3c2	Hist1h3b
H3c3	Hist1h3c
H3c4	Hist1h3d
H3c6	Hist1h3e
H3c7	Hist1h3f
H3c8	Hist1h3g
H4c1	Hist1h4a
H4c11	Hist1h4j
H4c12	Hist1h4k
H4c16	Hist4h4
H4c2	Hist1h4b
H4c3	Hist1h4c
H4c4	Hist1h4d
H4c6	Hist1h4f
H4c8	Hist1h4h
H4c9	Hist1h4i
Hars1	Hars
Hexd	Hexdc
Hprt1	Hprt
Hrtfm1	Hfm1
Hycc1	Fam126a
Hycc2	Fam126b
Iars1	Iars
Ift25	Hspb11
Ift56	Ttc26
Ift70b	Ttc30b
Ighm	Bcr
Iho1	Ccdc36
Inka1	Fam212a
Inka2	Fam212b
Insyn2a	Fam196a
Insyn2b	Fam196b
Iqca1	Iqca
Irag1	Mrvi1
Irag2	Lrmp
Itprid1	Ccdc129
Itprid2	Ssfa2
Jpt2	Hn1l
Kars1	Kars
Kash5	Ccdc155
Kcne5	Kcne1l
Kirrel1	Kirrel
Klk1b8	Klk8
Kpna2rt	Gm10184
Krt87	Krt83
Krtap11-1	Hacl1
LTO1	Oraov1
Lars1	Lars
Ldaf1	Tmem159
Ldb2	Ldb3
Lratd1	Fam84a
Lratd2	Fam84b
Lsm8	Naa38
Lyset	Tmem251
Maco1	Tmem57
Macroh2a1	H2afy
Macroh2a2	H2afy2
Mageb16-ps1	Mageb16
Marchf1	March1
Marchf10	March10
Marchf2	March2
Marchf3	March3
Marchf4	March4
Marchf5	March5
Marchf6	March6
Marchf7	March7
Marchf8	March8
Marchf9	March9
Mars1	Mars
Mchm2	Mcm2
Meak7	Tldc1
Mettl25b	Rrnad1
Mia2	Ctage5
Micos10	Minos1
Mideas	Elmsan1
Minute	Mnt
Mix23	Ccdc58
Mmut	Mut
Mobq2	Mob2
Mobq4	Mob4
Mrtfa	Mkl1
Mrtfb	Mkl2
Ms19	Mms19
Mtag2	Mag
Mtarc1	Marc1
Mtcl2	Soga1
Mtrex	Skiv2l2
Mtss2	Mtss1l
Mydgf	Il25
Naa80	Nat6
Nalf1	Fam155a
Nanos2	Nos2
Nars1	Nars
Nectin2	Pvr
Nherf1	Slc9a3r1
Nherf2	Slc9a3r2
Nherf4	Pdzd3
Nhsl3	C77080
Niban1	Fam129a
Niban2	Fam129b
